trial_id,block_no,ori,rest_this_trial
1,1,90,0
2,1,130,0
3,1,122,0
4,1,142,0
5,1,10,0
6,1,70,0
7,1,2,0
8,1,170,0
9,1,42,0
10,1,150,0
11,1,102,0
12,1,22,0
13,1,82,0
14,1,162,0
15,1,50,0
16,1,30,0
17,1,110,0
18,1,62,0
19,2,171,1
20,2,41,0
21,2,71,0
22,2,111,0
23,2,131,0
24,2,51,0
25,2,81,0
26,2,61,0
27,2,11,0
28,2,141,0
29,2,121,0
30,2,1,0
31,2,161,0
32,2,91,0
33,2,151,0
34,2,21,0
35,2,101,0
36,2,31,0
37,3,120,1
38,3,94,0
39,3,40,0
40,3,80,0
41,3,100,0
42,3,154,0
43,3,160,0
44,3,14,0
45,3,20,0
46,3,114,0
47,3,134,0
48,3,74,0
49,3,54,0
50,3,0,0
51,3,140,0
52,3,60,0
53,3,34,0
54,3,174,0
55,4,60,1
56,4,12,0
57,4,80,0
58,4,92,0
59,4,0,0
60,4,132,0
61,4,160,0
62,4,152,0
63,4,140,0
64,4,120,0
65,4,172,0
66,4,40,0
67,4,112,0
68,4,20,0
69,4,32,0
70,4,72,0
71,4,52,0
72,4,100,0
73,5,100,1
74,5,16,0
75,5,176,0
76,5,20,0
77,5,56,0
78,5,76,0
79,5,40,0
80,5,116,0
81,5,96,0
82,5,60,0
83,5,160,0
84,5,140,0
85,5,36,0
86,5,80,0
87,5,120,0
88,5,0,0
89,5,136,0
90,5,156,0
91,6,43,1
92,6,143,0
93,6,17,0
94,6,83,0
95,6,3,0
96,6,57,0
97,6,77,0
98,6,157,0
99,6,163,0
100,6,97,0
101,6,37,0
102,6,23,0
103,6,123,0
104,6,137,0
105,6,103,0
106,6,117,0
107,6,63,0
108,6,177,0
109,7,88,1
110,7,128,0
111,7,174,0
112,7,148,0
113,7,48,0
114,7,74,0
115,7,34,0
116,7,134,0
117,7,168,0
118,7,28,0
119,7,14,0
120,7,154,0
121,7,114,0
122,7,68,0
123,7,94,0
124,7,8,0
125,7,54,0
126,7,108,0
127,8,132,1
128,8,112,0
129,8,3,0
130,8,23,0
131,8,163,0
132,8,92,0
133,8,83,0
134,8,32,0
135,8,152,0
136,8,72,0
137,8,172,0
138,8,52,0
139,8,143,0
140,8,123,0
141,8,12,0
142,8,103,0
143,8,43,0
144,8,63,0
145,9,129,1
146,9,109,0
147,9,89,0
148,9,9,0
149,9,13,0
150,9,29,0
151,9,153,0
152,9,113,0
153,9,149,0
154,9,73,0
155,9,69,0
156,9,49,0
157,9,93,0
158,9,169,0
159,9,33,0
160,9,53,0
161,9,173,0
162,9,133,0
163,10,121,1
164,10,13,0
165,10,61,0
166,10,161,0
167,10,21,0
168,10,33,0
169,10,1,0
170,10,153,0
171,10,113,0
172,10,133,0
173,10,101,0
174,10,93,0
175,10,81,0
176,10,73,0
177,10,41,0
178,10,173,0
179,10,141,0
180,10,53,0
181,11,143,1
182,11,83,0
183,11,176,0
184,11,163,0
185,11,43,0
186,11,156,0
187,11,23,0
188,11,16,0
189,11,136,0
190,11,36,0
191,11,116,0
192,11,3,0
193,11,76,0
194,11,96,0
195,11,56,0
196,11,123,0
197,11,63,0
198,11,103,0
199,12,101,1
200,12,41,0
201,12,136,0
202,12,121,0
203,12,1,0
204,12,16,0
205,12,176,0
206,12,81,0
207,12,96,0
208,12,36,0
209,12,61,0
210,12,76,0
211,12,156,0
212,12,161,0
213,12,116,0
214,12,21,0
215,12,56,0
216,12,141,0
217,13,2,1
218,13,82,0
219,13,122,0
220,13,151,0
221,13,102,0
222,13,111,0
223,13,91,0
224,13,11,0
225,13,22,0
226,13,131,0
227,13,142,0
228,13,51,0
229,13,171,0
230,13,162,0
231,13,42,0
232,13,31,0
233,13,71,0
234,13,62,0
235,14,152,1
236,14,146,0
237,14,6,0
238,14,72,0
239,14,12,0
240,14,86,0
241,14,66,0
242,14,106,0
243,14,166,0
244,14,126,0
245,14,52,0
246,14,32,0
247,14,26,0
248,14,132,0
249,14,172,0
250,14,92,0
251,14,46,0
252,14,112,0
253,15,78,1
254,15,158,0
255,15,69,0
256,15,138,0
257,15,49,0
258,15,98,0
259,15,178,0
260,15,9,0
261,15,58,0
262,15,149,0
263,15,18,0
264,15,38,0
265,15,89,0
266,15,118,0
267,15,169,0
268,15,29,0
269,15,129,0
270,15,109,0
271,16,66,1
272,16,153,0
273,16,6,0
274,16,126,0
275,16,146,0
276,16,53,0
277,16,113,0
278,16,73,0
279,16,33,0
280,16,46,0
281,16,86,0
282,16,106,0
283,16,13,0
284,16,26,0
285,16,133,0
286,16,166,0
287,16,173,0
288,16,93,0
289,17,86,1
290,17,166,0
291,17,46,0
292,17,71,0
293,17,146,0
294,17,126,0
295,17,6,0
296,17,26,0
297,17,11,0
298,17,111,0
299,17,171,0
300,17,31,0
301,17,91,0
302,17,51,0
303,17,66,0
304,17,106,0
305,17,131,0
306,17,151,0
307,18,27,1
